"study","group","id","partner_id","bonus","finalprice","enjoy","age","gender","seller","nice","tough"
"two",101,"775TW ","GK7PQ ",1.5,445,5,28,"1",1,1,0
"two",101,"GK7PQ ","775TW ",0.5,445,3,18,"1",0,1,0
"two",19,"TWB4P ","R5WCU ",0,NA,NA,NA,NA,1,1,0
"two",19,"R5WCU ","TWB4P ",0,NA,NA,NA,NA,0,1,0
"two",18,"32NVX ","6Q8EY ",1.5,450,4,22,"1",1,0,1
"two",18,"6Q8EY ","32NVX ",0.5,450,3,58,"1",0,0,1
"two",36,"H9FSP ","ZK4XZ ",1,400,4,35,"0",1,1,0
"two",36,"ZK4XZ ","H9FSP ",1,400,3,22,"1",0,1,0
"two",65,"WNQZ7 ","2BQW9 ",0,NA,1,61,"1",1,1,0
"two",65,"2BQW9 ","WNQZ7 ",0,NA,4,29,"1",0,1,0
"two",135,"647TP ","SZDJ7 ",1,400,3,22,"1",1,0,1
"two",135,"SZDJ7 ","647TP ",1,400,4,23,"1",0,0,1
"two",75,"84YCB ","Q36SB ",1,400,5,27,"1",1,1,0
"two",75,"Q36SB ","84YCB ",1,400,4,24,"1",0,1,0
"two",63,"ZBYKA ","R6ECT ",1.5,450,5,29,"0",1,0,1
"two",63,"R6ECT ","ZBYKA ",0.5,450,4,22,"1",0,0,1
"two",125,"Z4UJB ","69SNV ",1.8,480,5,21,"1",1,1,0
"two",125,"69SNV ","Z4UJB ",0.2,480,4,19,"1",0,1,0
"two",66,"HAP9H ","45GMJ ",0,300,4,19,"1",1,0,1
"two",66,"45GMJ ","HAP9H ",2,300,4,19,"1",0,0,1
"two",55,"UQ43D ","UGBA7 ",1.7,465,4,22,"1",1,1,0
"two",55,"UGBA7 ","UQ43D ",0.3,465,3,23,"1",0,1,0
"two",84,"6FRXU ","CGMPX ",1,400,3,23,"0",1,1,0
"two",84,"CGMPX ","6FRXU ",1,400,4,22,"0",0,1,0
"two",99,"4TXUW ","TQGG7 ",1.3,425,4,22,"0",1,1,0
"two",99,"TQGG7 ","4TXUW ",0.7,425,3,20,"1",0,1,0
"two",98,"MSE5T ","M8VKQ ",1.5,450,2,22,"1",1,0,1
"two",98,"M8VKQ ","MSE5T ",0.5,450,5,26,"1",0,0,1
"two",21,"S9KUF ","EJDVG ",0,270,5,33,"1",1,0,1
"two",21,"EJDVG ","S9KUF ",2.3,270,3,34,"1",0,0,1
"two",38,"XRXHC ","GVNPA ",0.5,350,5,18,"1",1,0,1
"two",38,"GVNPA ","XRXHC ",1.5,350,3,21,"1",0,0,1
"two",6,"RQPU9 ","T3QX6 ",0,NA,3,21,"0",1,1,0
"two",6,"T3QX6 ","RQPU9 ",0,NA,3,19,"0",0,1,0
"two",12,"F6DU9 ","7PWZN ",1,400,3,22,"1",1,1,0
"two",12,"7PWZN ","F6DU9 ",1,400,4,71,"1",0,1,0
"two",136,"RG3HE ","NBMN3 ",1,400,4,21,"1",1,1,0
"two",136,"NBMN3 ","RG3HE ",1,400,5,22,"1",0,1,0
"two",70,"HH386 ","RRUW7 ",0.5,350,5,22,"0",1,0,1
"two",70,"RRUW7 ","HH386 ",1.5,350,2,21,"1",0,0,1
"two",71,"FY8AW ","ZBVUS ",0.3,330,4,18,"1",1,0,1
"two",71,"ZBVUS ","FY8AW ",1.7,330,4,19,"0",0,0,1
"two",109,"UNTES ","VPZVK ",1,400,1,20,"1",1,1,0
"two",109,"VPZVK ","UNTES ",1,400,4,25,"1",0,1,0
"two",88,"2J8F2 ","QZ2S9 ",0.2,315,3,22,"1",1,0,1
"two",88,"QZ2S9 ","2J8F2 ",1.8,315,4,22,"0",0,0,1
"two",127,"S9BGU ","996XW ",1,400,2,26,"0",1,0,1
"two",127,"996XW ","S9BGU ",1,400,5,24,"0",0,0,1
"two",150,"QH76T ","MC3M6 ",1,400,4,19,"1",1,1,0
"two",150,"MC3M6 ","QH76T ",1,400,4,23,"0",0,1,0
"two",96,"CRYPA ","NF6ZE ",1.5,450,4,20,"1",1,1,0
"two",96,"NF6ZE ","CRYPA ",0.5,450,5,20,"0",0,1,0
"two",35,"4MD7N ","4SFJZ ",0.8,375,3,22,"1",1,1,0
"two",35,"4SFJZ ","4MD7N ",1.2,375,3,19,"0",0,1,0
"two",89,"8H6ZN ","QP6SZ ",1.8,475,5,20,"0",1,1,0
"two",89,"QP6SZ ","8H6ZN ",0.2,475,4,28,"1",0,1,0
"two",157,"WNMF5 ","HRGNW ",0.2,315,3,20,"0",1,1,0
"two",157,"HRGNW ","WNMF5 ",1.8,315,4,22,"0",0,1,0
"two",54,"3SEYB ","VFZKW ",0.3,325,4,26,"1",1,1,0
"two",54,"VFZKW ","3SEYB ",1.7,325,4,31,"0",0,1,0
"two",133,"2EJ5U ","5WQ7R ",0,300,3,18,"0",1,1,0
"two",133,"5WQ7R ","2EJ5U ",2,300,5,21,"1",0,1,0
"two",113,"PQ4DK ","8TV58 ",0.8,375,3,21,"0",1,1,0
"two",113,"8TV58 ","PQ4DK ",1.2,375,3,27,"1",0,1,0
"two",16,"XE8AS ","QCV9X ",1,400,3,19,"1",1,1,0
"two",16,"QCV9X ","XE8AS ",1,400,3,21,"1",0,1,0
"two",1,"SZA8P ","GYVUW ",1.9,485,4,21,"1",1,0,1
"two",1,"GYVUW ","SZA8P ",0.1,485,4,19,"1",0,0,1
"two",53,"PGMKM ","3ZUBW ",1,400,5,21,"0",1,0,1
"two",53,"3ZUBW ","PGMKM ",1,400,4,21,"0",0,0,1
"two",45,"HC6M9 ","NZCPY ",3,600,2,20,"0",1,1,0
"two",45,"NZCPY ","HC6M9 ",0,600,3,21,"0",0,1,0
"two",43,"5DUX7 ","3PT8Y ",1.8,475,4,21,"0",1,1,0
"two",43,"3PT8Y ","5DUX7 ",0.2,475,4,21,"0",0,1,0
"two",56,"XR58M ","AQDHS ",1.6,460,4,24,"0",1,0,1
"two",56,"AQDHS ","XR58M ",0.4,460,4,21,"1",0,0,1
"two",10,"Z7XMG ","XJAZ3 ",0,NA,NA,NA,NA,1,0,1
"two",10,"XJAZ3 ","Z7XMG ",0,NA,NA,NA,NA,0,1,0
"two",64,"628TZ ","AKYWB ",1,400,3,22,"1",1,1,0
"two",64,"AKYWB ","628TZ ",1,400,3,22,"1",0,1,0
"two",52,"TZ9U8 ","MH6ZH ",0.8,375,2,21,"0",1,1,0
"two",52,"MH6ZH ","TZ9U8 ",1.2,375,5,25,"0",0,1,0
"two",119,"7DGCK ","WGSZH ",1,400,2,19,"0",1,1,0
"two",119,"WGSZH ","7DGCK ",1,400,4,22,"0",0,1,0
"two",131,"MWRFZ ","VEZAP ",1,400,4,19,"0",1,1,0
"two",131,"VEZAP ","MWRFZ ",1,400,3,20,"0",0,1,0
"two",61,"QH5UY ","5K44X ",0.3,325,4,19,"1",1,1,0
"two",61,"5K44X ","QH5UY ",1.7,325,4,27,"1",0,1,0
"two",107,"HDNGF ","5YPNK ",0.3,330,1,22,"1",1,1,0
"two",107,"5YPNK ","HDNGF ",1.7,330,4,23,"0",0,1,0
"two",143,"94JZH ","S5GS8 ",0.5,350,3,20,"1",1,0,1
"two",143,"S5GS8 ","94JZH ",1.5,350,3,20,"1",0,0,1
"two",30,"NE9UP ","WUPUH ",1,400,2,20,"1",1,1,0
